agegroup_broad,epi_year,parname,par_bin,varname,parvalue,mean_parvalue,median,mean,ci50_l,ci50_u,ci95_l,ci95_u
1-2y,2022,age_dep,6,hosp_tot_norm,0.19589173082264608,0.19589173082264608,1.0128842717969528,0.956833119065255,0.8988841123673723,1.062078765389217,0.5213614703503738,1.1546699130050069
1-2y,2022,age_dep,6,peak_hosp_norm,0.19589173082264608,0.19589173082264608,1.0483748389771204,0.9538129625610976,0.7847840666445066,1.1686091314589064,0.3509077177815643,1.2657588641700306
1-2y,2022,age_dep,7,hosp_tot_norm,0.2149057300255139,0.2149057300255139,1.0253017349469988,0.9855476835130972,0.9438299868034374,1.0690043655908754,0.6205587267916405,1.1606414724235874
1-2y,2022,age_dep,7,peak_hosp_norm,0.2149057300255139,0.2149057300255139,1.072055974649116,0.9991533391302365,0.8826262438062361,1.1829861948150007,0.44630051675283233,1.2591451040081176
1-2y,2022,age_dep,8,hosp_tot_norm,0.2351008699354774,0.2351008699354774,1.032217766504692,0.9928223018051535,0.9635743773585755,1.0637215204164043,0.6178146205650807,1.1487541325690307
1-2y,2022,age_dep,8,peak_hosp_norm,0.2351008699354774,0.2351008699354774,1.1080746167290292,1.0259380824398545,0.9309611678027245,1.1766540425375842,0.4495224526883668,1.2673691269502174
1-2y,2022,age_dep,9,hosp_tot_norm,0.25978270257240416,0.25978270257240416,1.034235126985755,1.0115394204145156,0.9908747957072891,1.0576059316480761,0.7394212218789782,1.122672747357727
1-2y,2022,age_dep,9,peak_hosp_norm,0.25978270257240416,0.25978270257240416,1.1306366047745355,1.0646456231416035,0.986870897155361,1.1831052944675788,0.6011692648104208,1.2473405089674108
1-2y,2022,age_dep,10,hosp_tot_norm,0.2966976021602808,0.2966976021602808,1.0326981104039177,1.0238979828948516,1.0078415214542091,1.0514280862336747,0.8631489390365209,1.1185068394073023
1-2y,2022,age_dep,10,peak_hosp_norm,0.2966976021602808,0.2966976021602808,1.1390254842294996,1.0942902535285546,1.0326457195293801,1.1851476114167614,0.7568270247242438,1.2576606288448393
1-2y,2022,age_exp_ratio,1,hosp_tot_norm,0.10764090920053848,0.10764090920053848,0.9064362794069225,0.8615547852427435,0.6957544273956818,1.0311172984714678,0.44308891790113264,1.1716507731769237
1-2y,2022,age_exp_ratio,1,peak_hosp_norm,0.10764090920053848,0.10764090920053848,0.778648792582155,0.7702891010842172,0.5229651401918904,1.0120378906389123,0.3027148558091961,1.2326440086105166
1-2y,2022,age_exp_ratio,2,hosp_tot_norm,0.15239242622283167,0.15239242622283167,0.951944189424317,0.903323066764782,0.7573564217979424,1.0649295544955197,0.4434744632905542,1.2279260559151863
1-2y,2022,age_exp_ratio,2,peak_hosp_norm,0.15239242622283167,0.15239242622283167,0.8282778760403824,0.8235656752217098,0.5837513554145239,1.1069256289395024,0.29359108506610176,1.2559695263129158
1-2y,2022,age_exp_ratio,3,hosp_tot_norm,0.1952184138086518,0.1952184138086518,0.989003788681295,0.9255248354710344,0.8295459887971564,1.0671074776867444,0.4321862452146037,1.2217657473576506
1-2y,2022,age_exp_ratio,3,peak_hosp_norm,0.1952184138086518,0.1952184138086518,0.9291003292311246,0.8658648761325585,0.6400211931677942,1.1240507433203781,0.28984862869163924,1.2627016462919922
1-2y,2022,age_exp_ratio,4,hosp_tot_norm,0.2407035385499124,0.2407035385499124,1.0015727890784678,0.9394060755137752,0.8472736608556566,1.0700993095847697,0.44828115010394026,1.1925777745638526
1-2y,2022,age_exp_ratio,4,peak_hosp_norm,0.2407035385499124,0.2407035385499124,0.9526613283089966,0.8936919820147208,0.6616269165247017,1.1583130575831306,0.3115945650777617,1.2583292531624521
1-2y,2022,age_exp_ratio,5,hosp_tot_norm,0.2852272122246543,0.2852272122246543,1.014858370854709,0.9594631216868625,0.8914414806210644,1.0649318641206853,0.46671122212845334,1.2207430656719769
1-2y,2022,age_exp_ratio,5,peak_hosp_norm,0.2852272122246543,0.2852272122246543,1.0133448987923854,0.9333657440816174,0.7410829293035878,1.1576288783546544,0.3182751316617298,1.2684871225288712
1-2y,2022,age_exp_ratio,6,hosp_tot_norm,0.33511083174526635,0.33511083174526635,1.0199058183467478,0.9596971369518364,0.9024804492670251,1.0617104254824996,0.4893464361962046,1.1841548532813693
1-2y,2022,age_exp_ratio,6,peak_hosp_norm,0.33511083174526635,0.33511083174526635,1.0141423927318134,0.9316649337226512,0.7364929175321426,1.163333072298045,0.3349904567616756,1.260009278494481
1-2y,2022,age_exp_ratio,7,hosp_tot_norm,0.39848339244744824,0.39848339244744824,1.0300849685771083,0.9702839249718399,0.9309453835875494,1.0705439277956723,0.4772571622624815,1.2043145454633548
1-2y,2022,age_exp_ratio,7,peak_hosp_norm,0.39848339244744824,0.39848339244744824,1.0515375711660209,0.9554184040789897,0.795599900117879,1.1689035576601465,0.34465439987536156,1.2793843428821894
1-2y,2022,age_exp_ratio,8,hosp_tot_norm,0.48354085104955313,0.48354085104955313,1.0122546856583106,0.9553609538721172,0.9052763490229989,1.0528947790047913,0.5014886877550232,1.1697820036088014
1-2y,2022,age_exp_ratio,8,peak_hosp_norm,0.48354085104955313,0.48354085104955313,1.0154707732253798,0.9454522656824856,0.7607453653667842,1.1659518012804446,0.36085561370327834,1.261635746943498
1-2y,2022,age_exp_ratio,9,hosp_tot_norm,0.5944891958308114,0.5944891958308114,1.0198506300404118,0.9751382290027156,0.9416051356661703,1.051103575354276,0.6085823010049372,1.1384690702205813
1-2y,2022,age_exp_ratio,9,peak_hosp_norm,0.5944891958308114,0.5944891958308114,1.072142252328535,0.9910520503638596,0.859671848013817,1.1683119447186576,0.41007604759001853,1.2585669525525494
1-2y,2022,age_exp_ratio,10,hosp_tot_norm,0.7945713257434741,0.7945713257434741,1.0284662461813738,1.0004645484844852,0.9872888001305786,1.0503413133489736,0.666237525107475,1.1330223315656858
1-2y,2022,age_exp_ratio,10,peak_hosp_norm,0.7945713257434741,0.7945713257434741,1.1234640092723238,1.052468026998055,0.9661576294294525,1.1823448769061746,0.47494899461071444,1.2650989086910633
1-2y,2022,exp_dep,1,hosp_tot_norm,0.3311161501015224,0.3311161501015224,1.0194083018399183,0.9617224637263924,0.9094840383487711,1.0548317803084877,0.49738675960282513,1.2053156834413836
1-2y,2022,exp_dep,1,peak_hosp_norm,0.3311161501015224,0.3311161501015224,1.0221630500722765,0.9447432772631649,0.7454207483248848,1.1672348289713337,0.35868292279309255,1.277115851107342
1-2y,2022,exp_dep,2,hosp_tot_norm,0.3917923707597707,0.3917923707597707,1.0084309519553907,0.9448809572834158,0.885289398781958,1.0503908592355198,0.4421528624762681,1.1989912787892247
1-2y,2022,exp_dep,2,peak_hosp_norm,0.3917923707597707,0.3917923707597707,0.9757612106745371,0.9045823661247145,0.6886268923143184,1.142696459204867,0.30963381702795556,1.2698892307056067
1-2y,2022,exp_dep,3,hosp_tot_norm,0.4496761442429842,0.4496761442429842,1.0117351176253409,0.9509427932020899,0.8989558841158809,1.0568228712649577,0.4561960257589564,1.2202012581403052
1-2y,2022,exp_dep,3,peak_hosp_norm,0.4496761442429842,0.4496761442429842,0.983830407421109,0.9130758529527775,0.6878323084342557,1.1474360153143977,0.3159943885762665,1.258537037795713
1-2y,2022,exp_dep,4,hosp_tot_norm,0.5070098288841094,0.5070098288841094,1.0111589124432319,0.9480246464785128,0.8622570466674335,1.057540700708566,0.4918294027069718,1.2288283150148593
1-2y,2022,exp_dep,4,peak_hosp_norm,0.5070098288841094,0.5070098288841094,0.9676888556469709,0.9014758338149156,0.6810181818181817,1.1548709408825977,0.32469923086866215,1.2793833962035517
1-2y,2022,exp_dep,5,hosp_tot_norm,0.5686262511330117,0.5686262511330117,1.0076671604132692,0.9437212838323952,0.8756062657143848,1.0584493423042844,0.4472135153670197,1.2057163671538378
1-2y,2022,exp_dep,5,peak_hosp_norm,0.5686262511330117,0.5686262511330117,1.0121807667924085,0.9173054247211267,0.7113654364208299,1.1635067642195733,0.296687577634331,1.2757297369739815
1-2y,2022,exp_dep,6,hosp_tot_norm,0.6324976056577599,0.6324976056577599,1.025182005954593,0.9596730886710501,0.9019147420665607,1.0634187173185272,0.48513003857591064,1.205758836788732
1-2y,2022,exp_dep,6,peak_hosp_norm,0.6324976056577599,0.6324976056577599,1.0284459265976231,0.9352434771288602,0.7312344638447992,1.1708757703107335,0.3161128205185739,1.2657327709379318
1-2y,2022,exp_dep,7,hosp_tot_norm,0.6957567115824013,0.6957567115824013,0.9979014706554687,0.935195749412785,0.8451604206563481,1.052557210038839,0.4749604415587105,1.153031016463976
1-2y,2022,exp_dep,7,peak_hosp_norm,0.6957567115824013,0.6957567115824013,0.9716078440377505,0.9065738683956526,0.7050536837711121,1.1502129027672574,0.32170255440388384,1.2495275200374747
1-2y,2022,exp_dep,8,hosp_tot_norm,0.7708283290015193,0.7708283290015193,0.9930071488860119,0.9381086912524048,0.8798413828470115,1.058723005865739,0.4757526657297434,1.158175849973241
1-2y,2022,exp_dep,8,peak_hosp_norm,0.7708283290015193,0.7708283290015193,0.9693911192813944,0.9110472790246076,0.7364436276130847,1.14719509473096,0.3251064762099919,1.251726092676221
1-2y,2022,exp_dep,9,hosp_tot_norm,0.862862169578082,0.862862169578082,0.9942520170845528,0.9289492822385672,0.8272379205468924,1.0664225912079859,0.4477276837245952,1.1600457944420155
1-2y,2022,exp_dep,9,peak_hosp_norm,0.862862169578082,0.862862169578082,0.9661440960640426,0.905591130074425,0.6982565936522129,1.1596265687174778,0.30562410677508633,1.2490234567409046
1-2y,2022,exp_dep,10,hosp_tot_norm,1.0116819941353783,1.0116819941353783,0.9974047467214409,0.93893613108458,0.8385064608142984,1.0729956345383125,0.5119250142176277,1.141439000570825
1-2y,2022,exp_dep,10,peak_hosp_norm,1.0116819941353783,1.0116819941353783,0.9953693747714782,0.9230672104240804,0.7355445634014517,1.144927741194972,0.35639391284294974,1.2448464853404404
1-2y,2022,omega,1,hosp_tot_norm,0.0023001975693663947,0.0023001975693663947,0.9968462127414459,0.9286437016633736,0.8368513552249807,1.049420571949097,0.4566643968381674,1.1799470918537442
1-2y,2022,omega,1,peak_hosp_norm,0.0023001975693663947,0.0023001975693663947,0.9523924413968108,0.8737573948946937,0.645521722004924,1.1195436071620861,0.29498347211307263,1.216859669044545
1-2y,2022,omega,2,hosp_tot_norm,0.00248025097434695,0.00248025097434695,1.002851212229351,0.9404408125385172,0.877244307006307,1.0593322633898272,0.4425182269410579,1.1871583212913381
1-2y,2022,omega,2,peak_hosp_norm,0.00248025097434695,0.00248025097434695,0.9630721044230769,0.8905276759843544,0.6791883780065863,1.1370309211844511,0.2922564175165261,1.228082468440227
1-2y,2022,omega,3,hosp_tot_norm,0.002594822374949525,0.002594822374949525,1.001843835571008,0.9384625400248209,0.8559178311800405,1.0566955338735353,0.46485238553053615,1.191418499390035
1-2y,2022,omega,3,peak_hosp_norm,0.002594822374949525,0.002594822374949525,0.961619061899093,0.8946722151584796,0.6924703070228109,1.1363639590714776,0.3220399419500529,1.2412980635556976
1-2y,2022,omega,4,hosp_tot_norm,0.002692888041590025,0.002692888041590025,0.9980426245163718,0.9393336584981955,0.8614426510860421,1.05226932180036,0.4547092601478069,1.1610627846619688
1-2y,2022,omega,4,peak_hosp_norm,0.002692888041590025,0.002692888041590025,0.9799115150065767,0.9062422328594113,0.7171242774566475,1.1455378085557912,0.31244161801501247,1.225393729042674
1-2y,2022,omega,5,hosp_tot_norm,0.0027918597937754202,0.0027918597937754202,1.0121845614958733,0.9440590777350428,0.8758262842654245,1.0574339362419582,0.4496331591730047,1.2142142156886244
1-2y,2022,omega,5,peak_hosp_norm,0.0027918597937754202,0.0027918597937754202,1.0070089638375674,0.9098692268414752,0.6909294518087231,1.1528336739357066,0.3021829764350486,1.256227164261822
1-2y,2022,omega,6,hosp_tot_norm,0.00288852748206572,0.00288852748206572,0.9915954183316701,0.9308556939866779,0.837671087210402,1.0547094197690634,0.4500448112474573,1.183158721646087
1-2y,2022,omega,6,peak_hosp_norm,0.00288852748206572,0.00288852748206572,0.9409903332664227,0.8957578062442769,0.6848160480818513,1.1538883315860686,0.30829081632653066,1.2536625530078678
1-2y,2022,omega,7,hosp_tot_norm,0.003006612881024655,0.003006612881024655,1.0199187932521183,0.9544720502302709,0.8985351702830502,1.0630404012735115,0.4507317216441186,1.179134072988762
1-2y,2022,omega,7,peak_hosp_norm,0.003006612881024655,0.003006612881024655,1.0256314341927695,0.9360519035794276,0.7336871123199245,1.1705949350745168,0.3096061247121142,1.242180461080305
1-2y,2022,omega,8,hosp_tot_norm,0.0031481796778535546,0.0031481796778535546,1.0112735866065694,0.9496946022129036,0.8829568199048664,1.0581164687527562,0.4864260573280036,1.200393141041669
1-2y,2022,omega,8,peak_hosp_norm,0.0031481796778535546,0.0031481796778535546,1.0026007836484312,0.9242704768229761,0.7145298558682225,1.1581034757653061,0.3381830271426078,1.2533637721299318
1-2y,2022,omega,9,hosp_tot_norm,0.0033405827647226926,0.0033405827647226926,1.020279834708441,0.9571953297893343,0.8886301439936152,1.068687062494117,0.5023351689413504,1.1897005430634215
1-2y,2022,omega,9,peak_hosp_norm,0.0033405827647226926,0.0033405827647226926,1.0144585887160142,0.9503892560424031,0.761963406052076,1.1885290889132822,0.34501318459950836,1.263167070603673
1-2y,2022,omega,10,hosp_tot_norm,0.003713147574490335,0.003713147574490335,1.0238718756250795,0.9670296779777621,0.8923762439841483,1.0711536250983866,0.5168961758240361,1.2104259395624601
1-2y,2022,omega,10,peak_hosp_norm,0.003713147574490335,0.003713147574490335,1.0689470728384098,0.98124878481652,0.7809411337442049,1.2229278603825118,0.36267094256129306,1.3018927761895134
1-2y,2022,R0,1,hosp_tot_norm,1.3427291001590598,1.3427291001590598,0.8306717024515893,0.7849273347037692,0.6154191068477571,0.9741015742453469,0.3713012418233532,1.0723678008611197
1-2y,2022,R0,1,peak_hosp_norm,1.3427291001590598,1.3427291001590598,0.7724879400282809,0.7705396578747797,0.49928797355401566,1.0387224749733406,0.2626718940446286,1.2531739190241646
1-2y,2022,R0,2,hosp_tot_norm,1.5220772974252,1.5220772974252,0.9368740965110847,0.8757893527521896,0.75769809876339,1.0232715649071553,0.45357990909428536,1.1020281906157388
1-2y,2022,R0,2,peak_hosp_norm,1.5220772974252,1.5220772974252,0.9033757863011819,0.8524251472328753,0.6017801134870561,1.1250030699661577,0.29190427238964967,1.256045425834335
1-2y,2022,R0,3,hosp_tot_norm,1.634251540962223,1.634251540962223,0.9710776393660248,0.9025512722485511,0.787816118092507,1.0427482636421874,0.44876681798165696,1.1258090434950518
1-2y,2022,R0,3,peak_hosp_norm,1.634251540962223,1.634251540962223,0.952589399148227,0.8766815289884904,0.5818453491409061,1.1582101275761172,0.29539333767533477,1.2625636173073302
1-2y,2022,R0,4,hosp_tot_norm,1.7321243964702044,1.7321243964702044,0.9989498557510665,0.9364687041919705,0.8567467806280981,1.050883015119519,0.49737844093033085,1.1829104760702829
1-2y,2022,R0,4,peak_hosp_norm,1.7321243964702044,1.7321243964702044,0.9749134948096887,0.903673209834764,0.6631205673758864,1.1585568917668825,0.315020902660376,1.2505345853721752
1-2y,2022,R0,5,hosp_tot_norm,1.819188816543051,1.819188816543051,1.0264440412848008,0.9667054008603749,0.9024776322289013,1.0679523998405327,0.4774607366527467,1.220941418179499
1-2y,2022,R0,5,peak_hosp_norm,1.819188816543051,1.819188816543051,1.0370498762043727,0.9362884614456431,0.7439475971183606,1.16491681548223,0.3052505590494369,1.2493976334434516
1-2y,2022,R0,6,hosp_tot_norm,1.916640609395793,1.916640609395793,1.0220306362143385,0.9731685767194945,0.9228364712158824,1.0642618965774486,0.522852959229268,1.1876805893414457
1-2y,2022,R0,6,peak_hosp_norm,1.916640609395793,1.916640609395793,1.0061884122948836,0.9323151720027311,0.7618238103072412,1.1527131105303838,0.33622744741324545,1.2617940011933477
1-2y,2022,R0,7,hosp_tot_norm,2.012766825312556,2.012766825312556,1.032620973016269,0.9887131810834734,0.9422321262877023,1.0791083256704253,0.5548173402612432,1.2189525613841745
1-2y,2022,R0,7,peak_hosp_norm,2.012766825312556,2.012766825312556,1.0513475758890474,0.9629087083902736,0.7964940366012367,1.1674363451915057,0.3732768846129502,1.2627016462919922
1-2y,2022,R0,8,hosp_tot_norm,2.1297726734589792,2.1297726734589792,1.032746729287529,0.9859259849152238,0.9376623566604128,1.0749184429137042,0.5652131963298822,1.2074843967928541
1-2y,2022,R0,8,peak_hosp_norm,2.1297726734589792,2.1297726734589792,1.005666492500911,0.9449179598319266,0.7833022184082087,1.15549309575766,0.36317459909741284,1.2630443649603773
