par_id,exp_dep,age_dep,seasforc_width_wks,R0,seasforce_peak,omega,const_delta
620,0.75,0.8125,7,1,0.75,0.004,3.25081285589195
621,0.875,0.8125,7,1,0.75,0.004,3.926493959177883
631,0.25,0.875,7,1,0.75,0.004,1.5851528161394681
632,0.375,0.875,7,1,0.75,0.004,1.9839107625718013
633,0.5,0.875,7,1,0.75,0.004,2.458986394832574
634,0.625,0.875,7,1,0.75,0.004,3.01986587167352
646,0.25,0.9375,7,1,0.75,0.004,1.7779603734890876
647,0.375,0.9375,7,1,0.75,0.004,2.2252206124717486
648,0.5,0.9375,7,1,0.75,0.004,2.758081318373313
661,0.25,1,7,1,0.75,0.004,1.9808195872627614
662,0.375,1,7,1,0.75,0.004,2.4791106938536753
663,0.5,1,7,1,0.75,0.004,3.0727689886452274
704,1.875,0.1875,3,1.1,0.75,0.004,1.364593562742744
705,2,0.1875,3,1.1,0.75,0.004,1.5774122319577717
717,1.625,0.25,3,1.1,0.75,0.004,1.5212649068245703
718,1.75,0.25,3,1.1,0.75,0.004,1.7692271616871733
719,1.875,0.25,3,1.1,0.75,0.004,2.05095938065683
720,2,0.25,3,1.1,0.75,0.004,2.3708219814506943
730,1.375,0.3125,3,1.1,0.75,0.004,1.6023891581571188
731,1.5,0.3125,3,1.1,0.75,0.004,1.878294679147072
732,1.625,0.3125,3,1.1,0.75,0.004,2.1925152252679094
733,1.75,0.3125,3,1.1,0.75,0.004,2.549889550172852
734,1.875,0.3125,3,1.1,0.75,0.004,2.9559346622163902
743,1.125,0.375,3,1.1,0.75,0.004,1.5850246112453208
744,1.25,0.375,3,1.1,0.75,0.004,1.8767276777200566
745,1.375,0.375,3,1.1,0.75,0.004,2.210305385966898
746,1.5,0.375,3,1.1,0.75,0.004,2.590884258432218
747,1.625,0.375,3,1.1,0.75,0.004,3.0243141539958582
756,0.875,0.4375,3,1.1,0.75,0.004,1.4676142268211165
757,1,0.4375,3,1.1,0.75,0.004,1.7597399738729274
758,1.125,0.4375,3,1.1,0.75,0.004,2.096064268932635
759,1.25,0.4375,3,1.1,0.75,0.004,2.4818175060987113
760,1.375,0.4375,3,1.1,0.75,0.004,2.922946501956559
761,1.5,0.4375,3,1.1,0.75,0.004,3.426230659455218
762,1.625,0.4375,3,1.1,0.75,0.004,3.999405934294868
769,0.625,0.5,3,1.1,0.75,0.004,1.2709809777318215
770,0.75,0.5,3,1.1,0.75,0.004,1.5474675651920973
771,0.875,0.5,3,1.1,0.75,0.004,1.8691085325744838
772,1,0.5,3,1.1,0.75,0.004,2.241150937465798
773,1.125,0.5,3,1.1,0.75,0.004,2.669483259488741
774,1.25,0.5,3,1.1,0.75,0.004,3.1607667683826803
775,1.375,0.5,3,1.1,0.75,0.004,3.7225751476253994
776,1.5,0.5,3,1.1,0.75,0.004,4.36354243718885
782,0.375,0.5625,3,1.1,0.75,0.004,1.0301130179605966
783,0.5,0.5625,3,1.1,0.75,0.004,1.2767882225818397
784,0.625,0.5625,3,1.1,0.75,0.004,1.5680156615881242
