agegroup,epi_year,epi_year_wk_start,parname,par_bin,varname,parvalue,mean_parvalue,median,mean,ci50_l,ci50_u,ci95_l,ci95_u
1,2023,23,seasforce_peak,5,cumul_hosp,0.9111160935190702,0.9111160935190702,1.0167242866422352,1.0512682146500094,1.0064137026459545,1.0747323572770562,0.9990331289229979,1.2484584129126766
1,2023,23,seasforce_peak,5,peak_hosp,0.9111160935190702,0.9111160935190702,1.0151442667164918,1.1056486695745276,1.0012075017719906,1.1612943973291774,0.995145946668302,1.5471808954683859
1,2023,23,seasforce_peak,5,peak_yday,0.9111160935190702,0.9111160935190702,0,0.715,-7,0,-21,0
1,2023,23,seasforce_peak,6,cumul_hosp,1.024698061569889,1.024698061569889,1.0142959540105672,1.0587717624516269,1.004577817452735,1.089749593061371,1.0007752204761582,1.2791504778930145
1,2023,23,seasforce_peak,6,peak_hosp,1.024698061569889,1.024698061569889,1.0218814422451918,1.1274739027285463,0.9998781109957388,1.2057164472818145,0.9872164757001916,1.7000646308489629
1,2023,23,seasforce_peak,6,peak_yday,1.024698061569889,1.024698061569889,0,2.47,-7,0,-21,0.1750000000000398
1,2023,23,seasforce_peak,7,cumul_hosp,1.1275587419174067,1.1275587419174067,1.0158111364655618,1.0577173176589962,1.00482702499961,1.0828714662499048,1.0005637784887969,1.296247070386888
1,2023,23,seasforce_peak,7,peak_hosp,1.1275587419174067,1.1275587419174067,1.0329708605538555,1.1358515049723368,1.0009056141680595,1.2128821721689556,0.9883986573806981,1.669956099100751
1,2023,23,seasforce_peak,7,peak_yday,1.1275587419174067,1.1275587419174067,0,-2.13,-7,0,-21,0
1,2023,23,seasforce_peak,8,cumul_hosp,1.2338478380391527,1.2338478380391527,1.0166869486654888,1.06808090729334,1.0040212448995145,1.0964580935671304,1.0002196329700135,1.3177967645656803
1,2023,23,seasforce_peak,8,peak_hosp,1.2338478380391527,1.2338478380391527,1.0427629994576915,1.160428691924542,1.0000260098915927,1.2598185630328766,0.9850789070661846,1.7709325185581744
1,2023,23,seasforce_peak,8,peak_yday,1.2338478380391527,1.2338478380391527,0,-1.11,-7,0,-21,0
1,2023,23,seasforce_peak,9,cumul_hosp,1.3402291403653877,1.3402291403653877,1.0334603794751525,1.0751304594444384,1.004623709261178,1.1118930601155095,0.9998933898082638,1.2853342821108764
1,2023,23,seasforce_peak,9,peak_hosp,1.3402291403653877,1.3402291403653877,1.0789229945902858,1.183337811743092,1.0031800082396662,1.2896305036957016,0.9931927167781027,1.790362664120569
1,2023,23,seasforce_peak,9,peak_yday,1.3402291403653877,1.3402291403653877,0,-2.935,-7,0,-14,0
1,2023,23,seasforce_peak,10,cumul_hosp,1.4448627897897959,1.4448627897897959,1.0286508088614505,1.0664259285129607,1.0060507024296181,1.1030909469696428,1.0004803286382744,1.2902716985535052
1,2023,23,seasforce_peak,10,peak_hosp,1.4448627897897959,1.4448627897897959,1.0695413611597893,1.1662295939666067,1.0096415728150197,1.2833662181057772,0.9929537497329158,1.6766240542321127
