agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
8,2,30698,51161,26,5e-4
8,3,30698,3947934,1713,4e-4
9,1,30698,0,0,NA
9,2,30698,6289,11,0.0017
9,3,30698,5044766,1772,4e-4
10,1,30698,0,0,NA
10,2,30698,626,83,0.1319
10,3,30698,2474268,868,4e-4
11,1,30698,0,0,NA
11,2,30698,1514,609,0.4022
11,3,30698,1365875,453,3e-4
1,1,30699,436907,3507,0.008
1,2,30699,113411,781,0.0069
1,3,30699,22225,195,0.0088
2,1,30699,109072,1709,0.0157
2,2,30699,135198,1369,0.0101
2,3,30699,55797,640,0.0115
3,1,30699,39664,599,0.0151
3,2,30699,126441,1573,0.0124
3,3,30699,86597,1176,0.0136
4,1,30699,12718,216,0.017
4,2,30699,110392,1555,0.0141
4,3,30699,130849,1981,0.0151
5,1,30699,3605,65,0.0179
5,2,30699,132216,2145,0.0162
5,3,30699,318748,5029,0.0158
6,1,30699,472,9,0.0195
6,2,30699,77221,1354,0.0175
6,3,30699,338535,5372,0.0159
7,1,30699,54,1,0.0224
7,2,30699,43702,787,0.018
7,3,30699,309499,5052,0.0163
8,1,30699,6,0,0.0262
8,2,30699,51916,1002,0.0193
8,3,30699,3115269,53855,0.0173
9,1,30699,0,0,NA
9,2,30699,6712,253,0.0377
9,3,30699,3158300,55702,0.0176
10,1,30699,0,0,NA
10,2,30699,2788,938,0.3363
10,3,30699,1490322,26376,0.0177
11,1,30699,0,0,NA
11,2,30699,9930,3108,0.313
11,3,30699,797625,13555,0.017
1,1,30700,465636,4268,0.0092
1,2,30700,107558,937,0.0087
1,3,30700,18830,211,0.0112
2,1,30700,114430,2161,0.0189
2,2,30700,131834,1709,0.013
2,3,30700,48636,702,0.0144
3,1,30700,40973,705,0.0172
3,2,30700,124170,2050,0.0165
3,3,30700,70438,1191,0.0169
4,1,30700,13129,254,0.0194
4,2,30700,110673,2101,0.019
4,3,30700,117469,2209,0.0188
5,1,30700,3737,77,0.0205
5,2,30700,132578,2902,0.0219
5,3,30700,244889,5379,0.022
6,1,30700,497,11,0.0231
6,2,30700,76814,1765,0.023
6,3,30700,238187,6204,0.026
7,1,30700,58,2,0.0265
7,2,30700,42372,1040,0.0246
7,3,30700,200021,5839,0.0292
8,1,30700,7,0,0.029
8,2,30700,55621,1673,0.0301
8,3,30700,2040466,61609,0.0302
9,1,30700,0,0,NA
9,2,30700,12343,2079,0.1684
9,3,30700,1676983,52563,0.0313
10,1,30700,0,0,NA
10,2,30700,18282,4887,0.2673
10,3,30700,761030,23203,0.0305
11,1,30700,0,0,NA
11,2,30700,37360,8133,0.2177
11,3,30700,392396,10751,0.0274
1,1,30711,376278,412,0.0011
1,2,30711,120695,96,8e-4
1,3,30711,25850,22,9e-4
2,1,30711,98167,181,0.0018
2,2,30711,138781,157,0.0011
