agegroup,infection,par_id,cumul_mean_incid,sum_abs_diff,sum_rel_diff
10,2,5008,1313,376,0.2862
10,3,5008,742214,11494,0.0155
11,1,5008,0,0,NA
11,2,5008,2468,705,0.2855
11,3,5008,463322,7140,0.0154
1,1,5640,435951,137106,0.3145
1,2,5640,58395,27053,0.4633
1,3,5640,1460,627,0.4293
2,1,5640,182865,90542,0.4951
2,2,5640,114059,45814,0.4017
2,3,5640,6686,2893,0.4326
3,1,5640,74292,37769,0.5084
3,2,5640,118705,52887,0.4455
3,3,5640,11581,5130,0.443
4,1,5640,27420,14661,0.5347
4,2,5640,145370,60587,0.4168
4,3,5640,37083,17098,0.4611
5,1,5640,8303,4560,0.5492
5,2,5640,153980,76580,0.4973
5,3,5640,82356,42905,0.521
6,1,5640,1178,669,0.5685
6,2,5640,81080,45396,0.5599
6,3,5640,96899,53142,0.5484
7,1,5640,143,84,0.5898
7,2,5640,40363,24587,0.6091
7,3,5640,98674,55728,0.5648
8,1,5640,17,11,0.6378
8,2,5640,37915,23622,0.623
8,3,5640,1100850,637298,0.5789
9,1,5640,0,0,NA
9,2,5640,3461,2144,0.6193
9,3,5640,1034058,613173,0.593
10,1,5640,0,0,NA
10,2,5640,541,268,0.4951
10,3,5640,657063,393442,0.5988
11,1,5640,0,0,NA
11,2,5640,312,130,0.4165
11,3,5640,491169,295166,0.6009
1,1,5669,463358,41845,0.0903
1,2,5669,112441,9427,0.0838
1,3,5669,9085,1327,0.1461
2,1,5669,149006,23130,0.1552
2,2,5669,157811,17041,0.108
2,3,5669,30724,4172,0.1358
3,1,5669,55456,8564,0.1544
3,2,5669,144061,16860,0.117
3,3,5669,43752,6142,0.1404
4,1,5669,18388,3035,0.1651
4,2,5669,131583,17824,0.1355
4,3,5669,105132,13308,0.1266
5,1,5669,5164,866,0.1678
5,2,5669,124520,17091,0.1373
5,3,5669,190754,28587,0.1499
6,1,5669,674,116,0.1719
6,2,5669,57250,8150,0.1424
6,3,5669,190934,30127,0.1578
7,1,5669,76,13,0.1766
