exp_dep,age_dep,seasforc_width_wks,R0,peak_week,seasforce_peak,omega,par_id,const_delta,seas_conc_lim,npi_start,npi_stop,seas_start_wk,seas_stop_wk
0.25,0.6875,5,1,48,0.75,0.002857142857142857,12511,1.0589387224276268,0.85,2020-03-26,2021-05-17,42,8
1.5,0.3125,7,1,48,0.75,0.002857142857142857,12656,1.707540617406429,0.85,2020-03-26,2021-05-17,42,8
1.375,0.375,7,1,48,0.75,0.002857142857142857,12670,2.0093685326971795,0.85,2020-03-26,2021-05-17,42,8
1,0.5,7,1,48,0.75,0.002857142857142857,12697,2.0374099431507258,0.85,2020-03-26,2021-05-17,42,8
0.75,0.5625,7,1,48,0.75,0.002857142857142857,12710,1.7355623301524445,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1.1,48,0.75,0.002857142857142857,12855,1.5774122319577717,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,5,1.1,48,0.75,0.002857142857142857,13079,1.364593562742744,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.1,48,0.75,0.002857142857142857,13080,1.5774122319577717,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.1,48,0.75,0.002857142857142857,13094,2.05095938065683,0.85,2020-03-26,2021-05-17,42,8
1.5,0.3125,5,1.1,48,0.75,0.002857142857142857,13106,1.878294679147072,0.85,2020-03-26,2021-05-17,42,8
1.375,0.375,5,1.1,48,0.75,0.002857142857142857,13120,2.210305385966898,0.85,2020-03-26,2021-05-17,42,8
1.25,0.4375,5,1.1,48,0.75,0.002857142857142857,13134,2.4818175060987113,0.85,2020-03-26,2021-05-17,42,8
1.25,0.4375,7,1.1,48,0.75,0.002857142857142857,13359,2.4818175060987113,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.2,48,0.75,0.002857142857142857,13755,1.7208133439539326,0.85,2020-03-26,2021-05-17,42,8
1.875,0.25,5,1.2,48,0.75,0.002857142857142857,13769,2.2374102334438137,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,7,1.2,48,0.75,0.002857142857142857,14007,2.3918347912013553,0.85,2020-03-26,2021-05-17,42,8
1.625,0.25,3,1.3,48,0.75,0.002857142857142857,14217,1.7978585262472195,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,5,1.3,48,0.75,0.002857142857142857,14430,1.8642144559500937,0.85,2020-03-26,2021-05-17,42,8
1.625,0.3125,5,1.3,48,0.75,0.002857142857142857,14457,2.5911543571348017,0.85,2020-03-26,2021-05-17,42,8
1.5,0.375,5,1.3,48,0.75,0.002857142857142857,14471,3.061954123601712,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,7,1.3,48,0.75,0.002857142857142857,14668,2.0909048274484774,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,5,1.4,48,0.75,0.002857142857142857,15118,2.2517436603291294,0.85,2020-03-26,2021-05-17,42,8
2,0.25,5,1.4,48,0.75,0.002857142857142857,15120,3.0174097945736107,0.85,2020-03-26,2021-05-17,42,8
1.875,0.1875,3,1,48,1,0.002857142857142857,16229,1.2405396024934034,0.85,2020-03-26,2021-05-17,42,8
2,0.1875,3,1,48,1,0.002857142857142857,16230,1.4340111199616106,0.85,2020-03-26,2021-05-17,42,8
1.75,0.25,3,1,48,1,0.002857142857142857,16243,1.608388328806521,0.85,2020-03-26,2021-05-17,42,8
1.625,0.375,3,1,48,1,0.002857142857142857,16272,2.749376503632598,0.85,2020-03-26,2021-05-17,42,8
1.125,0.4375,3,1,48,1,0.002857142857142857,16283,1.9055129717569406,0.85,2020-03-26,2021-05-17,42,8
1,0.5,3,1,48,1,0.002857142857142857,16297,2.0374099431507258,0.85,2020-03-26,2021-05-17,42,8
